POS;VNP;predikativní;vztažné;délka
V-R-P-C-J-A-N;1;0;0;7
V-R-P-A-N;237;0;0;5
V-R-N-T-N;3;0;0;5
V-A-A-N-J-N;1;0;0;6
V-R-P-J-D-A-N-Z-J-D-A-N;1;0;0;12
N-Z-P-R-P-V;2;4;93;6
N-Z-J-P-R-P-V;0;25;1;7
N-Z-J-P-R-P-N-V;0;39;0;8
N-Z-P-R-N-V-V;0;0;1;7
N-R-X-V;1;0;0;4
N-R-P-Z-D-N-V-N-Z-D-P-V-V;0;1;0;13
N-Z-P-V-N-V-V;0;0;2;7
N-R-A-N-T-J-N-J-N-Z-V;0;1;0;11
N-Z-P-P-P-N-V;0;1;0;7
N-Z-P-V-C-R-C-V;0;0;1;8
N-R-A-V;3;1;0;4
N-Z-P-V-V;0;3;8;5
N-Z-P-V-R-P-N-V-V;0;0;1;9
N-Z-J-V;0;21;1;4
N-Z-P-V-A-Z-R-P-P-V;0;1;0;10
N-J-R-A-N-P-V;0;1;0;7
N-Z-V-P-Z-J-V-P-R-N-Z-J-T-P-V;0;1;0;15
N-J-D-P-V;0;9;0;5
N-Z-P-R-P-T-V;0;0;1;7
N-Z-P-R-P-T-V-Z-D-J-V-P-N-Z-P-V;0;1;0;16
N-R-P-R-A-N-V;2;0;0;7
N-R-P-D-V;4;0;0;5
N-V-Z-T-Z-V-J-V-Z-V;0;1;0;10
N-T-V;14;0;0;3
N-V-J-V-P-V;0;2;0;6
N-J-P-N-Z-A-N-V-A-Z-V;0;1;0;11
N-Z-P-R-P-N-V;0;0;29;7
N-Z-P-N-R-N-V;1;0;7;7
N-R-P-T-V;9;0;0;5
N-R-N-Z-J-D-V-Z-D-V-N-Z-J-V-V-P-D-Z-T-A-V-Z-J-D-N-V;0;1;0;26
N-Z-P-P-R-N-V;0;0;1;7
N-P-R-P-V;4;0;0;5
N-Z-V-Z-D-P-V;0;1;0;7
N-Z-P-R-P-C-T-D-V;0;0;1;9
N-P-R-P-T-V;1;0;0;6
N-R-P-N-V;24;0;0;5
N-Z-P-R-P-T-D-V;0;0;1;8
N-V-V-Z-J-R-P-V;0;0;1;8
N-V-V;12;8;0;3
N-Z-J-P-V;0;99;0;5
N-R-N-V;56;2;0;4
N-D-P-V;0;3;0;4
N-A-N-J-N-Z-P-P-V-D-Z-J-D-P-D-V;0;1;0;16
N-N-V-N-J-N-R-A-N-Z-V;0;1;0;11
N-Z-P-R-N-D-V;0;0;2;7
N-J-C-V-V-V-N-Z-J-R-P-V;0;1;0;12
N-J-N-Z-J-P-V;0;1;0;7
N-R-P-P-C-V;1;0;0;6
N-Z-J-P-V-Z-J-P-V-N-C-N-Z-J-V-P-P-Z-J-V-D-D-J-V;0;1;0;24
N-R-P-P-N-V;2;0;0;6
N-R-P-V-P-V-V-Z-J-T-R-N-P-C-N-V;0;1;0;16
N-V-P-A-N-N-N-V-Z-A-N-R-A-V-X-Z-X-R-A-N-A-A-N-D-N-N-V;0;1;0;27
N-R-A-N-J-V;0;6;0;6
N-Z-V-A-J-D-P-R-P-V;0;1;0;10
N-Z-P-T-V-Z-R-A-N-P-R-P-V-N-Z-N-N-Z-P-V;0;1;0;20
N-N-J-V;0;5;0;4
N-N-R-P-N-V;3;0;0;6
N-Z-V-N-J-N-Z-V-N-J-V;0;1;0;11
N-Z-Z-P-C-V-D-D-Z-D-P-V-J-V-Z-J-T-P-V-Z-J-P-V-R-N-Z-V;0;1;0;27
N-Z-P-R-P-D-V;0;2;8;7
N-Z-V-P-N-Z-V;1;0;0;7
N-Z-P-T-V;0;0;2;5
N-V-R-P-J-V;1;0;0;6
N-N-Z-N-J-N-R-P-Z-D-P-R-P-P-N-V;0;1;0;16
N-V-R-P-Z-J-P-V-N-R-P-Z-J-P-R-P-V;0;1;0;17
N-R-N-R-P-N-J-T-R-N-X-Z-R-P-P-V;0;1;0;16
N-V-A-Z-J-P-V-D-R-N-J-J-P-T-D-V;0;1;0;16
N-Z-D-P-V;0;34;0;5
N-Z-P-R-P-N-N-V;0;0;2;8
N-R-P-Z-P-P-V;0;3;0;7
N-J-N-Z-N-P-V;0;1;0;7
N-R-P-R-P-V-N-V;1;0;0;8
N-Z-P-R-N-V;0;1;31;6
N-R-N-J-V;3;13;0;5
N-R-P-C-V;1;0;0;5
N-Z-N-P-V;0;4;0;5
N-V-D-N-J-P-N-N-V-D-A-Z-V;0;1;0;13
N-R-N-R-N-Z-J-J-V-Z-V;0;1;0;11
N-V-R-P-A-C-P-V;1;0;0;8
N-V-P-A-N-N-N-V-Z-A-N-R-A-V;0;1;0;14
N-V-D-N-Z-V-Z-J-P-N-N-V-Z-D-A-Z-V;0;1;0;17
N-R-N-J-A-N-N-Z-D-V-P-V-V;0;1;0;13
N-J-R-N-V;2;0;0;5
N-R-P-A-A-N-Z-V;0;1;0;8
N-Z-D-J-V-D-A-V;0;1;0;8
N-Z-V-A-N-Z-R-P-N-P-V;0;1;0;11
N-Z-P-A-N-V;0;0;10;6
N-N-Z-P-R-P-V;0;0;2;7
N-J-J-P-R-P-J-A-V;0;1;0;9
N-R-A-N-V;27;0;0;5
N-J-R-P-N-P-V;0;2;0;7
N-R-A-N-J-V-P-V;0;2;0;8
N-Z-P-R-P-P-C-V;0;0;1;8
N-Z-P-J-V-N-Z-V;0;1;0;8
N-Z-J-V-D-V-R-A-N-D-J-T-P-V;0;1;0;14
N-J-D-V-R-N-C-Z-V-Z-J-P-N-N-V-Z-A-N-V-C-Z-P-D-V-V;0;1;0;25
N-R-N-Z-J-J-P-V;0;1;0;8
N-P-V;2;7;1;3
N-R-N-Z-R-N-R-N-Z-J-R-N-P-V;0;1;0;14
N-Z-P-P-V-V;0;1;0;6
N-T-T-V;1;0;0;4
N-R-N-J-P-Z-D-V-R-N-Z-V;0;1;0;12
N-J-P-V-A-Z-D-D-P-N-V-P-Z-V-Z-D-P-V;0;1;0;18
V-R-P-C-N-A-N;2;0;0;7
V-R-P-D-J-A-N;1;0;0;7
V-R-P-P-N;28;0;0;5
V-Z-J-V-V-Z-P-V-Z-D-J-V-N;0;1;0;13
V-D-J-D-V-V-P-N;0;1;0;8
V-D-J-D-X-V-N-J-N;0;1;0;9
V-R-C-A-N-N;1;0;0;6
V-R-P-F-F-P-A-N-Z-P-P-D-V-Z-N;0;1;0;15
V-R-P-N;206;4;0;4
V-T-D-A-N;11;0;0;5
V-D-Z-J-V-D-N;0;3;0;7
V-D-J-D-Z-J-V-P-N;0;1;0;9
V-R-N-Z-D-P-V-R-N-Z-R-P-V-Z-J-P-V-D-A-N-Z-P-J-P-N;0;1;0;25
V-R-P-P-A-N;18;0;0;6
V-P-D-J-D-V-N;0;1;0;7
V-N-D-R-N-D-A-N;1;0;0;8
V-R-P-D-A-N;22;0;0;6
V-D-D-Z-T-T-V-A-N-R-A-N;0;1;0;12
V-Z-V-P-A-N-Z-P-P-P-N-D-T-V-N-Z-V-A-N;0;1;0;19
V-R-A-N-P-A-N;4;0;0;7
V-V-R-P-D-A-N;5;0;0;7
V-J-V-P-N;0;4;0;5
V-D-Z-J-V-R-N;0;4;0;7
V-Z-D-J-V-P-N;0;1;0;7
V-N-Z-N-J-N-Z-N-R-N-N-Z-R-P-V-V-A-N;0;1;0;18
V-J-V-J-V-R-N-Z-P-V-N;0;1;0;11
V-A-J-A-N;30;0;0;5
V-P-N-Z-D-V-R-N-R-N-R-A-N-J-P-P-V-R-N-R-N-Z-J-P-D-V-Z-N-Z-Z-P-V-D-P-N;0;1;0;35
V-D-A-Z-A-N;1;0;0;6
V-R-P-A-Z-A-N;2;0;0;7
V-T-A-N;44;0;0;4
V-P-D-Z-V-N-R-P-N;0;1;0;9
V-R-P-P-N-J-R-N-Z-P-V-N;0;1;0;12
V-D-P-A-N;1;0;0;5
V-R-N-N-A-A-N;1;0;0;7
V-R-P-N-D-A-N;5;2;0;7
V-R-P-Z-J-R-A-N-Z-A-N;1;0;0;11
V-Z-J-J-R-P-V-P-A-N;0;1;0;10
V-D-N;50;0;0;3
V-R-N-N-D-A-N;5;0;0;7
V-R-P-R-A-N-D-A-N;1;0;0;9
V-D-Z-J-V-N;0;34;0;6
V-D-Z-V-N;0;18;0;5
V-D-J-V-R-P-P-N;0;2;0;8
V-D-J-V-P-N;0;6;0;6
V-R-P-A-Z-T-A-N-P-N;1;0;0;10
V-D-D-A-N;16;0;0;5
V-J-A-N-R-N-Z-V-V-V-P-N;1;0;0;12
V-D-Z-J-V-P-N;0;7;0;7
V-V-R-P-A-N;20;0;0;6
V-R-N-P-A-N;17;0;0;6
V-D-D-Z-R-N-A-N-Z-A-C-Z-N-N-R-N-B-Z-V-D-A-J-A-A-N-Z-P-V-V-R-N;0;2;0;31
V-R-A-A-N;2;0;0;5
V-Z-V-Z-V-P-N;0;1;0;7
V-D-Z-P-V-A-N-J-P-V-D-N;0;1;0;12
V-D-A-A-N;8;0;0;5
V-P-R-P-J-R-P-N-Z-V-P-N;0;1;0;12
V-D-J-R-N-Z-R-N-R-N-P-N;0;1;0;12
V-Z-N;8;4;0;3
V-D-J-D-A-J-A-N;1;0;0;8
V-P-D-Z-V-A-N-Z-P-N-V-R-A-N-R-N-Z-P-R-A-N-V-D-Z-V-N-Z-D-V-J-V-P-V-P-N;0;1;0;35
V-R-N-P-N;36;0;0;5
V-R-P-T-P-A-N;1;0;0;7
V-D-D-Z-A-V-D-N;0;7;0;8
V-R-P-C-A-N;1;0;0;6
V-R-P-N-D-D-A-N;1;0;0;8
V-R-N-N-N-P-N;1;0;0;7
V-Z-J-J-V-N-P-N-Z-V-P-D-N;0;1;0;13
V-R-N-Z-J-V-Z-J-T-V-A-Z-J-V-P-P-A-N;0;1;0;18
V-D-Z-J-D-Z-J-V-R-P-J-A-N-R-N-Z-V-R-P-P-A-N;0;1;0;22
V-D-J-V-N;0;36;0;5
V-D-A-J-T-A-N;1;0;0;7
V-P-A-N-Z-D-V-Z-J-V-T-V-N;0;1;0;13
V-C-A-N;5;0;0;4
V-R-A-X-P-A-N;1;0;0;7
V-R-P-N-J-N-Z-V-N-A-N-Z-V-R-N-Z-J-P-A-N-V-R-N-N-Z-V-A-N-Z-V-N-R-A-N-J-N-Z-R-N-A-N-Z-V-V-N;0;1;0;45
V-P-J-N-Z-Z-J-Z-V-P-N;0;1;0;11
V-J-D-P-V-D-P-N;0;1;0;8
V-D-J-V-N-R-A-N;0;1;0;8
V-D-R-N-Z-P-N-V-T-N-R-N-N-Z-N-R-A-N-V-Z-D-V-Z-Z-N-V-V-V-P-N-Z-T-N;0;1;0;33
V-D-Z-V-P-N;0;11;0;6
V-A-N-Z-T-J-A-N;1;0;0;8
V-Z-V-R-P-V-N;0;2;0;7
V-R-N-J-P-N-D-A-N;0;1;0;9
V-C-Z-V-V-P-N-N-Z-T-J-J-V-R-N-R-N-C-Z-V-D-V-P-N;0;1;0;24
V-P-Z-J-V-V-T-P-N;0;1;0;9
V-D-J-A-N;4;0;0;5
V-A-N-R-N-D-A-N;1;0;0;8
V-R-A-N-Z-P-P-D-V-Z-P-P-R-P-R-P-V-J-P-V-P-J-T-D-Z-V-P-N;0;1;0;28
V-D-D-Z-J-J-V-P-N;0;2;0;9
V-R-P-D-A-J-A-N;1;0;0;8
V-R-B-D-A-N;2;0;0;6
V-J-P-Z-J-V-P-A-N;0;1;0;9
V-P-A-A-N;4;0;0;5
V-J-A-Z-A-N-Z-P-V-P-N;0;1;0;11
V-R-P-Z-A-N-Z-P-A-N;1;0;0;10
V-R-N-J-D-P-V-V-D-P-N;0;1;0;11
V-D-Z-J-P-D-D-V-Z-J-D-V-R-P-N;0;1;0;15
V-V-R-P-N;13;0;0;5
V-R-P-F-F-P-A-N;1;0;0;8
V-J-A-N;10;2;0;4
V-P-J-A-N-Z-P-P-P-V-Z-V-A-N-J-A-A-N;0;1;0;18
V-R-N-R-A-N-J-V-N;0;1;0;9
V-R-P-N-J-N-Z-V-A-Z-D-V-P-N-Z-V-N-A-N-Z-V-R-N-Z-J-P-A-N-V-R-N-N-Z-V-A-N-Z-V-N-R-A-N-J-N-Z-R-N-A-N-Z-V-V-N;0;1;0;53
V-R-P-N-A-N;64;0;0;6
V-R-N-R-N-A-N;4;0;0;7
V-T-P-N;7;0;0;4
V-V-R-P-J-A-N;1;0;0;7
V-R-A-N-N;27;1;0;5
V-D-J-P-V-A-N-J-P-V-D-N;0;1;0;12
V-A-Z-J-A-N;2;1;0;6
V-Z-D-Z-J-V-V-P-N-R-A-J-A-N-Z-Z-J-P-A-N-A-A-N;0;1;0;23
V-J-D-R-N-Z-V-P-Z-V-D-P-N-J-N;0;1;0;15
V-R-P-Z-D-V-Z-A-N;1;0;0;9
V-D-D-D-N;1;0;0;5
V-R-P-A-J-T-A-N;1;0;0;8
V-D-D-Z-Z-V-N-Z-P-D-R-N-R-F-F-N;0;1;0;16
V-R-P-D-Z-V-P-Z-V-Z-J-V-P-T-A-J-V-P-V-N;0;1;0;20
V-P-D-A-A-N-Z-J-V-A-A-N;0;1;0;12
V-R-A-N-B-A-N;1;0;0;7
V-N-A-Z-J-J-D-A-Z-N;1;0;0;10
V-J-A-Z-J-R-A-N-A-N;1;0;0;10
V-Z-J-V-R-N;0;3;0;6
V-R-N-Z-P-D-V-R-N;0;1;0;9
V-R-P-N-Z-N-Z-A-N;2;0;0;9
V-D-Z-J-V-N-R-N;0;2;0;8
V-D-T-A-A-N;1;0;0;6
V-N-N-A-N;6;0;0;5
V-D-R-N-Z-P-N-V-T-N-R-N-N-Z-N-V-Z-Z-N-V-V-V-P-N-Z-T-N;0;1;0;27
V-N-N-J-D-R-N-D-A-N;1;0;0;10
V-A-Z-A-N;8;0;0;5
V-J-N-Z-J-J-P-V-V-P-N;0;1;0;11
V-R-N-A-N-D-A-N;1;0;0;8
V-P-J-N-J-D-P-V-J-P-A-Z-D-P-V-N;0;1;0;16
V-A-N-R-N-Z-Z-Z-T-Z-D-P-V-V-P-N-D-Z-J-P-C-D-V-R-N-N-Z-J-Z-D-P-V-P-A-N-N-Z-Z-P-N;0;1;0;40
V-R-N-Z-V-N;0;3;0;6
V-P-Z-J-V-V-X-N;1;0;0;8
V-P-D-J-V-P-N-Z-N-J-N;0;1;0;11
V-R-P-A-N-A-N;12;0;0;7
V-A-N-J-R-P-A-N;0;1;0;8
V-T-D-D-T-R-N-Z-P-V-D-A-N-Z-P-D-N-J-N;0;1;0;19
V-D-T-A-N;5;0;0;5
V-D-Z-V-A-N-J-V-N;0;2;0;9
V-R-P-N-J-N-D-A-N;1;0;0;9
V-A-N-Z-A-N-J-N-R-X-N-Z-V-A-N-N-Z-J-P-V-P-N;0;1;0;22
V-J-P-N;2;6;0;4
V-R-N-Z-R-P-V-Z-J-P-V-D-A-N-Z-P-J-P-N;0;1;0;19
V-D-Z-J-D-R-P-D-V-N;0;1;0;10
V-Z-J-D-R-N-P-V-J-V-N-Z-J-N;0;1;0;14
V-P-D-D-J-D-V-V-R-N;0;1;0;10
V-D-Z-P-N-P-D-V-Z-Z-V-D-A-N-Z-P-V-A-N;0;1;0;19
V-D-A-N-Z-J-J-A-J-D-D-A-N;1;0;0;13
V-J-D-Z-N-R-N-R-N-Z-Z-N;0;1;0;12
V-V-R-P-A-A-N;1;0;0;7
V-D-Z-J-P-V-P-Z-P-R-P-V-D-A-N;0;1;0;15
N-R-A-N-N-V;3;1;0;6
N-R-A-N-T-V;2;0;0;6
N-Z-J-T-V-V-R-N-N-Z-P-P-R-P-V;0;1;0;15
N-Z-J-P-J-N-V-R-N-D-V;0;1;0;11
V-J-V-T-N;1;0;0;5
V-R-A-N;4;11;0;4
V-D-J-A-N-Z-J-J-J-A-N-Z-C-N-V-P-R-P-V-N-Z-R-P-V-D-A-N-V-Z-J-R-N-V-T-P-N;0;1;0;36
V-T-N;27;0;0;3
V-J-A-N-Z-V-D-N;0;1;0;8
V-R-N-N-N;30;0;0;5
V-J-N-N;1;0;0;4
V-N-A-N;18;0;0;4
V-T-N-R-N-N-N-Z-J-D-N;1;0;0;11
V-P-P-N;2;0;0;4
V-A-N-Z-P-P-J-R-P-N-R-A-N-P-N-Z-A-N-Z-D-V-R-A-N;0;1;0;24
V-P-J-V-Z-D-P-N-V-Z-R-N-V-P-N;0;1;0;15
N-J-T-R-P-V;0;1;0;6
N-V-N-V-Z-D-P-R-P-V-V;0;1;0;11
N-Z-V-R-P-A-Z-V;0;1;0;8
N-R-A-N-Z-R-P-Z-J-V-Z-J-V-P-N-V-J-A-N-Z-J-R-N-P-D-D-V;0;1;0;27
N-R-N-Z-P-P-V;0;5;0;7
N-J-V-Z-J-P-V-V;0;1;0;8
N-J-D-V-D-R-P-D-A-J-A-N-J-J-A-N-Z-J-C-P-V-V;0;1;0;22
N-J-P-Z-J-P-R-P-R-A-J-A-N-V;0;1;0;14
N-R-P-P-Z-V-A-N-N-Z-V-A-Z-V-V-J-D-V-Z-N-R-P-V-Z-V-P-Z-V;0;1;0;28
N-Z-V-N-N-X-Z-P-V-R-N-Z-J-P-X-V-Z-J-V-R-P-Z-J-V-R-A-N-Z-J-P-N-A-A-N-V-J-D-V;0;1;0;38
N-R-A-A-N-V;2;0;0;6
N-J-N-P-A-N-Z-P-R-P-D-V;0;1;0;12
N-R-N-J-P-N-Z-Z-V-V-Z-J-N-D-V-Z-D-A-N-R-P-V;0;1;0;22
N-D-V-Z-P-V;0;1;0;6
N-R-N-Z-P-P-R-C-N-N-V;0;1;0;11
N-R-N-J-V-Z-J-P-N-V;0;1;0;10
N-V-Z-J-J-V-V-D-V-N-N-A-J-R-N-Z-D-V-D-P-D-V;0;1;0;22
N-R-A-N-V-R-N-J-N-Z-J-P-A-N-R-N-A-A-N-V;0;1;0;20
N-N-Z-D-P-R-P-N-V;0;1;0;9
N-R-A-N-Z-V-V-Z-J-A-N-V-A-Z-V;0;1;0;15
N-J-N-A-N-Z-Z-V-P-N-V-Z-D-V-P-V;0;1;0;16
N-R-N-R-P-Z-D-P-R-P-N-V;0;1;0;12
N-Z-V-P-V-V;0;2;0;6
N-Z-J-P-P-V;0;9;0;6
N-Z-V-V-P-R-P-V;0;2;0;8
N-N-V-Z-J-P-N-A-N-R-A-N-V-V;0;1;0;14
N-T-J-D-Z-J-P-D-V;0;1;0;9
N-R-N-N-N-N-Z-J-P-R-P-V;0;2;0;12
N-R-N-Z-P-V-R-P-A-N-V;0;0;1;11
N-Z-P-R-A-N-V;0;3;8;7
N-N-J-N-Z-Z-V-D-V-Z-P-V-R-N-J-D-P-V;0;1;0;18
N-R-N-Z-V-P-N-R-A-N-Z-V-V-V;0;1;0;14
N-R-N-Z-J-J-P-N-V-V-D-Z-V-P-R-N-N-V;0;1;0;18
N-Z-J-P-R-P-A-N-T-V;0;1;0;10
N-A-N-J-J-P-D-V-V;0;1;0;9
N-Z-P-A-N-R-P-V;0;0;1;8
N-R-A-N-A-N-V;1;0;0;7
N-J-V-P-N-Z-D-P-P-N-V-R-A-N-V;0;1;0;15
N-Z-D-V-V-Z-J-P-A-Z-J-D-A-Z-A-J-A-N-V-A-V-P-R-P-Z-J-P-V-V;0;1;0;29
N-V-V-V-Z-J-V-N-R-N-V-Z-J-T-V-Z-D-P-V-C-A-N-R-B-Z-B-Z-J-N-N-V-D-R-N-A-N-Z-P-P-T-V;0;1;0;41
N-R-N-T-V;4;0;0;5
N-Z-P-N-V;0;5;13;5
N-Z-P-N-R-N-N-V;0;0;1;8
N-Z-D-P-V-D-Z-D-P-V;0;1;0;10
N-J-N-Z-J-J-P-R-P-R-D-N-R-N-V-N-Z-P-V-P-R-A-N-V-V-Z-J-V-N-Z-V-V-P-R-P-V;0;1;0;36
N-N-R-N-N-V;0;1;0;6
N-R-P-J-V;1;0;0;5
N-Z-N-P-V-N-J-N-P-V-V;0;1;0;11
N-Z-J-V-Z-J-P-V-V;0;1;0;9
N-N-Z-P-V-R-A-N-C-N-Z-P-A-N-V-N-N-V-Z-J-P-V;0;1;0;22
N-J-P-P-V;0;2;0;5
N-N-Z-N-R-N-V-P-J-A-V;0;1;0;11
N-R-P-Z-D-P-P-N-D-V;0;1;0;10
N-Z-P-V-P-N-Z-P-V-P-N-Z-V-P-R-P-V;0;1;0;17
N-R-A-C-N-A-Z-C-Z-Z-J-R-C-N-R-P-V;0;1;0;17
N-Z-P-V-N-J-N-V;0;0;1;8
N-J-V-N-Z-J-P-R-P-N-V;0;1;0;11
N-Z-J-D-P-V-Z-J-P-R-P-N-V-D-Z-D-P-R-P-V;0;1;0;20
N-Z-J-J-R-C-N-N-A-N-V-N-D-V-R-A-A-N-J-R-A-A-A-N-P-V;0;1;0;26
N-Z-P-R-P-V-Z-T-P-V-Z-D-R-A-N-Z-V-V;0;1;0;18
N-Z-V-P-V;0;12;0;5
N-Z-J-P-D-V;0;14;1;6
N-R-P-Z-P-V-V-Z-D-V-P-V;0;1;0;12
N-N-Z-V-A-Z-V-V-J-D-V-Z-N-R-P-V-Z-V-P-Z-V;0;1;0;21
N-Z-P-V-Z-V-Z-V;0;1;0;8
N-Z-J-V-P-R-P-V;0;8;0;8
N-N-R-P-Z-J-P-N-D-V-V;0;1;0;11
N-R-N-Z-J-V-Z-D-P-R-P-V;0;1;0;12
N-R-N-J-V-Z-J-P-P-V-Z-D-C-N-P-V;0;1;0;16
N-Z-J-P-V-V;0;27;0;6
