podstatné jmeno;typ;anotovano;left;kwic;right;kwic pos;kwic pos2;kwic pos2 full;kwic length
cit;N-V;3;Nerozešla se s nimi , protože rozchod předpokládá vášeň a silné ;city , a ty k nim nechová ;. ;N-Z-J-P-R-P-V;N-Z:-J^-PD-RR-P5-V;NN-Z:-J^-PD-RR-P5-VB;7
cit;N-V;3;Zdvořilý výraz zakryl veškeré ;city , které k Phillipsovi mohl chovat ;. ;N-Z-P-R-N-V-V;N-Z:-P4-RR-NN-Vp-V;NN-Z:-P4-RR-NN-Vp-Vf;7
cit;N-V;1;""" Byla jsem do něho prostě trop , "" řekla Midge Jenny , "" a tak jsem tím slovem pojmenovala i chudáčka psa , abych dokázala , jaké ";city vůči Stewovi chovám ;". "" ";N-R-X-V;N-RR-X@-V;NN-RR-X@-VB;4
cit;N-V;1;Tím způsobem si chtěla změřit , jaké skutečné ;city k ní chovám ;. ;N-R-P-V;N-RR-P5-V;NN-RR-P5-VB;4
cit;N-V;1;;City chovala ;k básníkovi Nebeskému , profesoru Helceletovi a MUDr . Jurenkovi , ale žádný z těchto vztahů netrval dlouho . ;N-V;N-V;NN-Vp;2
cit;N-V;3;"Teprvě když všichni ochraptěli , rychtář pokračoval : "" Tím odsouzená urazila ";city , které chováme ;"k našemu vousatému císaři ... "" ";N-Z-P-V;N-Z:-P4-V;NN-Z:-P4-VB;4
cit;N-V;3;Tím , že vztahujeme vědomí k celku společnosti , odkrýváme myšlenky a ;city , jaké by lidé mohli chovat ;v určité životní situaci , kdyby byli schopni přesně tyto situace a požadavky , které z ní vyplývají , jak ve vztahu k bezprostřední činnosti , tak ke struktuře celé společnosti odpovídající těmto požadavkům , zformovat : odhalují se tedy myšlenky atp . odpovídající objektivní situaci . ;N-Z-P-V-N-V-V;N-Z:-P4-Vc-NN-Vp-V;NN-Z:-P4-Vc-NN-Vp-Vf;7
cit;N-V;1;Že kniha nakonec žádného editora neuvádí a asi nemá a že je pouhým reprintem posledního vydání , to mě - po valašsku řečeno - nasralo , ale koneckonců podobné ;city chovám ;ke všemu zmatenému vydávání Demlových knih . ;N-V;N-V;NN-VB;2
cit;N-V;3;""" Proč se pořád odmítáš otevřít a podělit se se mnou o ";city , které chováš ;"ke svým zesnulým příbuzným ? "" ";N-Z-P-V;N-Z:-P4-V;NN-Z:-P4-VB;4
cit;N-V;1;Na to , aby nějaké vřelejší ;city chovala ;k Dodimu , jej znala strašně krátce a málo . ;N-V;N-V;NN-Vp;2
cit;N-V;1;tím jsem si byl jist ( třebaže jsem si už vůbec nebyl jist tím , že někdy nějaký ;cit choval ;) , ale určitě protože chtěl , aby Vilém jeho pohled jako nepřátelský cítil . ;N-V;N-V;NN-Vp;2
cit;N-V;3;Ale hlavně jsem doufala , že mě bude pevně držet u sebe , a brzy v sobě oživíme ten úžasný , vzrušující ;cit , který jsme jeden k druhému chovali ;v dobách našich středoškolských studií . ;N-Z-P-V-C-R-C-V;N-Z:-P4-VB-Cl-RR-Cr-V;NN-Z:-P4-VB-Cl-RR-Cr-Vp;8
cit;N-V;3;Zapomínám dokonce i na ;city , které k vám chovám ;"a které by stačily vysvětlit moje naléhání ... "" ";N-Z-P-R-P-V;N-Z:-P4-RR-PP-V;NN-Z:-P4-RR-PP-VB;6
cit;N-V;1;Nejen pod stromečkem tak s tímto dárkem budete opravdu originální a především můžete vyjádřit , jaké ;city k obdarovanému chováte ;. ;N-R-A-V;N-RR-AA-V;NN-RR-AA-VB;4
cit;N-V;3;Nakonec slovo chtíč je příliš abstraktní , intranzitivní a kněžourské , abych ho ještě dnes použil na ;city , které jsem choval ;k slečně Dobzhanské nebo jakékoli jiné ženě . ;N-Z-P-V-V;N-Z:-P4-VB-V;NN-Z:-P4-VB-Vp;5
cit;N-V;1;Čaj nebo kávu pro svého miláčka můžete servírovat v půvabném šálku s červeným podšálkem Leander ve tvaru srdce , který vaší milované či milovanému bude nejen na Valentýna připomínat , jaké ;city k němu chováte ;. ;N-R-P-V;N-RR-P5-V;NN-RR-P5-VB;4
cit;N-V;3;Podivnost postav respektive malá péče o jejich vykreslení , rozvinutí charakterů i motivací jednání totiž v zárodku likviduje veškeré ;city , jež by k nim člověk mohl chovat ;. ;N-Z-P-V-R-P-N-V-V;N-Z:-PJ-Vc-RR-P5-NN-Vp-V;NN-Z:-PJ-Vc-RR-P5-NN-Vp-Vf;9
cit;N-V;3;Že by tím naznačovala chladnější ;cit , než chová ;její manžel k ní ? ;N-Z-J-V;N-Z:-J,-V;NN-Z:-J,-VB;4
cit;N-V;1;Zvláštní bylo , jak přátelské ;city chovala ;ke Gordonovi . ;N-V;N-V;NN-Vp;2
cit;N-V;1;Jim cítil , jaký ;cit k němu chová ;Lucie : takový , že mu ukládal zdrženlivost v její přítomnosti . ;N-R-P-V;N-RR-P5-V;NN-RR-P5-VB;4
cit;N-V;1;Ale po pravdě řečeno , spoléhala jsem na to , jaké ;city ke mně chová ;, vždyť mi to ukázal zrovna den předtím , chápeš , když mě objal a řekl mi , Copak si myslíš , že jsem nějaký netvor ? ' ;N-R-P-V;N-RV-PP-V;NN-RV-PP-VB;4
